id,song,album,play,share,comments
1,如果我们不曾相遇,《自传》,109271255,235181,47700
2,后来的我们,《自传》,100063461,299379,58247
3,好好 (想把你写成一首歌),《自传》,77261198,226459,31982
4,派对动物,《自传》,50840112,56701,27007
5,顽固,《自传》,38404820,114141,17004
6,任意门,《自传》,35893924,71639,17199
7,成名在望,《自传》,32791983,93664,19286
8,转眼,《自传》,28158316,67301,16508
9,终于结束的起点,《自传》,26499081,64634,10859
10,最好的一天,《自传》,21704550,40836,7622
11,兄弟,《自传》,19892311,21093,5008
12,少年他的奇幻漂流,《自传》,18763262,22712,6715
13,人生有限公司,《自传》,17213018,14796,4570
14,你说那 C 和弦就是…,《自传》,13991113,17427,5765
15,我不愿让你一个人,《第二人生》,79714698,119903,21588
16,星空,《第二人生》,32156061,42198,7695
17,干杯,《第二人生》,26787315,54338,7566
18,仓颉,《第二人生》,20384092,42893,6378
19,OAOA (现在就是永远),《第二人生》,9039853,11149,2651
20,第二人生,《第二人生》,8827929,18228,2882
21,有些事现在不做 一辈子都不会做了,《第二人生》,8774647,23494,2934
22,诺亚方舟,《第二人生》,8060579,10942,2529
23,三个傻瓜,《第二人生》,5884297,7446,1812
24,洗衣机,《第二人生》,5606922,28203,3077
25,2012,《第二人生》,4767291,3987,1703
26,歪腰,《第二人生》,2640349,2011,1540
27,突然好想你,《后青春期的诗》,115455878,160303,31249
28,你不是真正的快乐,《后青春期的诗》,63214339,96172,15415
29,如烟,《后青春期的诗》,25194078,63030,8213
30,笑忘歌,《后青春期的诗》,13675466,25806,3263
31,夜访吸血鬼,《后青春期的诗》,13089533,18876,3539
32,后青春期的诗,《后青春期的诗》,12772526,18959,3307
33,我心中尚未崩坏的地方,《后青春期的诗》,9736188,29846,3581
34,生存以上 生活以下,《后青春期的诗》,4912585,13427,1573
35,噢买尬,《后青春期的诗》,4522006,4685,1032
36,出头天MV,《后青春期的诗》,3616589,6236,1757
37,爆肝MV,《后青春期的诗》,2234076,3986,740
38,春天的呐喊,《后青春期的诗》,2117421,3109,662
39,天使,《为爱而生》,20552253,38601,5110
40,最重要的小事,《为爱而生》,13072864,43513,4319
41,忘词,《为爱而生》,6720758,17966,2626
42,为爱而生,《为爱而生》,4729164,4088,1571
43,米老鼠,《为爱而生》,4577511,14331,2530
44,宠上天,《为爱而生》,3657036,14717,2159
45,我又初恋了,《为爱而生》,3308756,10597,1224
46,香水,《为爱而生》,3198354,5495,1838
47,一千个世纪,《为爱而生》,2096068,4731,1443
48,摩托车日记,《为爱而生》,1072502,2433,658
49,快乐很伟大,《为爱而生》,801245,562,378
50,倔强,《神的孩子都在跳舞》,49881546,66834,11140
51,听不到,《神的孩子都在跳舞》,12611492,29985,4046
52,孙悟空,《神的孩子都在跳舞》,9578128,15689,2863
53,超人,《神的孩子都在跳舞》,8418095,38761,5361
54,让我照顾你,《神的孩子都在跳舞》,5210918,17346,2370
55,错错错,《神的孩子都在跳舞》,4502696,8600,2074
56,垃圾车,《神的孩子都在跳舞》,2411016,7294,1075
57,回来吧,《神的孩子都在跳舞》,2142705,6958,1568
58,约翰蓝侬,《神的孩子都在跳舞》,1860714,3600,882
59,小护士,《神的孩子都在跳舞》,1238273,3039,542
60,圣诞夜惊魂,《神的孩子都在跳舞》,984824,3549,853
61,"晚安, 地球人",《神的孩子都在跳舞》,975238,2607,667
62,Enrich Your Life,《神的孩子都在跳舞》,697902,1549,338
63,时光机,《时光机》,12639666,25402,4079
64,九号球,《时光机》,4134630,9018,1710
65,雌雄同体,《时光机》,3801013,5759,1607
66,恒星的恒心,《时光机》,2724840,4650,1070
67,王子面,《时光机》,1767147,3066,569
68,我们 (时时刻刻),《时光机》,1755886,4324,1292
69,而我知道,《时光机》,1650639,3833,902
70,生命有一种绝对,《时光机》,908601,1656,407
71,武装,《时光机》,857298,849,441
72,轻功,《时光机》,820247,1220,441
73,阿姆斯壮,《时光机》,807705,974,370
74,赌神,《时光机》,789221,831,389
75,别惹我,《时光机》,521033,1703,477
76,在这一秒,《时光机》,517080,404,224
77,纯真,《人生海海》,7276577,15695,3109
78,人生海海,《人生海海》,6180676,19304,2661
79,一颗苹果,《人生海海》,5738623,16758,2448
80,相信,《人生海海》,2805015,6552,2055
81,好不好,《人生海海》,2557197,7432,1955
82,候鸟,《人生海海》,1959458,4035,1563
83,彩虹,《人生海海》,983066,1547,537
84,能不能不要说,《人生海海》,924776,1195,650
85,永远的永远,《人生海海》,881401,1071,458
86,借问众神明,《人生海海》,807163,1389,511
87,OK啦,《人生海海》,798120,752,373
88,啾啾啾,《人生海海》,496935,508,373
89,温柔,《爱情万岁》,7644054,46190,3675
90,憨人,《爱情万岁》,5784531,16898,3354
91,明白,《爱情万岁》,2764977,6658,1979
92,终结孤单,《爱情万岁》,1831508,5155,730
93,爱情万岁,《爱情万岁》,1806721,6556,1598
94,心中无别人,《爱情万岁》,1531098,5327,1443
95,有你的将来,《爱情万岁》,1451730,4621,1393
96,反而,《爱情万岁》,1206640,4360,1280
97,雨眠,《爱情万岁》,1203384,5036,1300
98,叫我第一名,《爱情万岁》,1039689,1332,358
99,罗密欧与茱丽叶,《爱情万岁》,858636,901,428
100,为什么 (今日的爱情),《爱情万岁》,638161,623,312
101,志明与春娇,《第一张创作专辑》,10985652,68578,5358
102,疯狂世界,《第一张创作专辑》,4185052,9680,1926
103,爱情的模样,《第一张创作专辑》,3606984,13384,2389
104,I Love You 无望,《第一张创作专辑》,3145847,10182,2455
105,拥抱,《第一张创作专辑》,2985778,5327,1639
106,轧车,《第一张创作专辑》,2188579,2590,1103
107,嘿! 我要走了,《第一张创作专辑》,1664092,6407,1671
108,透露,《第一张创作专辑》,1099128,2199,796
109,生活,《第一张创作专辑》,894844,1573,524
110,黑白讲,《第一张创作专辑》,751190,1048,572
111,HoSee,《第一张创作专辑》,633847,617,507
112,风若吹,《第一张创作专辑》,613306,289,273
113,知足,《知足 最真杰作选》精选辑,61693287,100163,13351
114,恋爱ing,《知足 最真杰作选》精选辑,11542540,11443,1946
115,咸鱼,《知足 最真杰作选》精选辑,10859082,36106,3792
116,牙关,《知足 最真杰作选》精选辑,2734485,6138,1742
117,乱世浮生,《知足 最真杰作选》精选辑,1715282,3587,874
118,勇敢,《勇敢》,19557471,30550,16147
119,我,《摇滚本事》 电影音乐原声带,384120,852,329
120,闯,《摇滚本事》 电影音乐原声带,321932,1086,291
121,摇滚本事,《摇滚本事》 电影音乐原声带,169092,177,90
122,小太阳,《小太阳》,6051694,13912,2446
123,寂寞星球,"《五月之恋 LOVE of MAY》
",266177,519,238
124,盛夏光年,《盛夏光年电影主题曲概念专辑》,5650286,6557,1828
125,私奔到月球,《离开地球表面 Jump!》,30432161,34288,4212
126,离开地球表面,《离开地球表面 Jump!》,14037510,18686,3021
127,抓狂,《离开地球表面 Jump!》,882684,2418,532
128,入阵曲,《兰陵王戏剧原声带》,7935480,3062,1079
129,将军令,《黄飞鸿之英雄有梦》,7336594,5552,1845
130,开天窗,《大开天窗》,6207003,14547,1957
131,伤心的人别听慢歌,《步步》 自选作品辑 the Best of 1999-2013,43177304,44567,6583
132,步步,《步步》 自选作品辑 the Best of 1999-2013,20586046,27724,4681
133,洋葱,《步步》 自选作品辑 the Best of 1999-2013,9235203,9276,3089
134,你是唯一,《步步》 自选作品辑 the Best of 1999-2013,4522273,7355,1814
135,Do You Ever Shine?,《Do You Ever Shine?》,4554920,7028,2313
136,什么歌,《什么歌》2018,801777,16096,3963
137,由我们主宰,《由我们主宰》,793869,569,319
138,年轻就要对味,"《	离开地球表面 Jump!》",681346,1897,367
139,花,《Final Home 当我们混在一起》,844270,1784,494
140,金色大街 (Demo),《那些你不要的》,460785,1474,610
141,不见不散(Demo),《那些你不要的》,848207,3484,3484
142,八月爱人(Demo),《那些你不要的》,252397,832,489
143,虚弱 (Demo),《那些你不要的》,248893,786,386
144,秒杀,《猩人类》,436899,347,304
145,证明 ,《experience》,989545,4324,887
146,天机,《射手》,1366635,866,391
147,未来就是现在,《未来就是现在》,1891087,1868,935
148,SHERO,《SHERO》,3790852,3731,1230
149,花又开好了,《花又开好了》,6080904,3704,1458
150,谢谢你的温柔,《Play》,6813135,9343,2369
151,超级偶像,《大逃杀》,624448,1290,289
152,疯子,《最后的8/31》,949237,3298,611
153,最终话,《舞娘》,440968,161,153
154,爱转动,《超级4th场》,157400,107,35
155,白蛇,《离家出走》,147526,60,37
156,可以不可以,《离家出走》,1933004,1673,270
157,花火,《夜猫》,4200028,4794,1123
158,走火入魔 ,《我爱上》,8311746,15212,1924
159,搞砸了,《爱&英雄》,283916,377,106
160,为你平定的天下,《风中奇缘 电视原声带》,1892053,1440,545
161,Beautiful,《美丽人生》,385071,442,124
162,纯真,《燕尾蝶》,1209766,3270,797
163,彩虹,《一夜长大》,2857638,4828,990
164,可乐戒指,《亲亲》,3185787,6522,1046
165,燕尾蝶,《燕尾蝶》,5498082,2624,911
166,听不到,《恋爱的力量》,9964398,12492,1813
167,丝路,《丝路》,15981598,12669,2701
168,黑键,《新地球》,174261,332,183
169,黑武士,《JJ陆》,311021,273,273
170,黑暗骑士,《因你而在》,4280265,7783,1685
171,我很好,《脱掉高跟鞋 世界巡回演唱会》,266966,512,80
172,年华,《滚石香港黄金十年 刘若英精选》,331166,179,97
173,候鸟,《候鸟 五月天电影音乐》,419847,350,124
174,我不想念,《在一起》,5554926,6600,1336
175,座右铭,《爱到无可救药》,154754,134,62
176,枫叶红面馆,《爱到无可救药》,188080,424,163
177,朋友变情人再变朋友,《爱到无可救药》,650986,879,211
178,哄我入睡,《爱到无可救药》,2474132,5461,790
179,无可救药,《爱到无可救药》,3340973,5903,822
180,那些女孩教我的事,《那些女孩教我的事》,8238684,12032,1825
181,光芒,《不信邪》,169457,180,70
182,任性,《不信邪》,227182,396,131
183,好聚好散,《滚石香港黄金十年 任贤齐精选》,426201,342,168
184,第一天,《完美的一天》,3237403,3314,977
185,在梅边,《火力全开》,104070,284,69
186,伯牙绝弦,《十八般武艺》,382038,528,183
187,福尔摩斯,《以爱之名》,453971,601,94
188,疼爱,《萧敬腾 同名专辑》,1467415,1365,454
189,寂寞堂口,《释放》,70161,99,60
190,洁癖,《好的情人》,5345130,7690,1647
191,洋葱,《鸽子》,51307875,19367,5398
192,意外的旅客,《一起吃苦的幸福》,192524,212,121
193,La La La,《On Ken's Time》,137994,69,88
194,Happy Birth Day,《Happy.Birth.Day》,5647568,34656,5219